id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity_100,release_decade,detailed_mood_tags,vocal_presence,instrumental_focus,listening_context,replay_value
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,83,2020s,"euphoric;bright;uplifting",0.91,0.12,commute,0.86
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,74,2020s,"calm;focused;nocturnal",0.18,0.88,study,0.81
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,79,2010s,"aggressive;adrenaline;defiant",0.73,0.24,workout,0.77
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,68,2020s,"nostalgic;gentle;rainy",0.09,0.94,reading,0.75
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2020s,"confident;explosive;motivational",0.95,0.06,workout,0.84
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,63,2010s,"weightless;reflective;ethereal",0.04,0.98,sleep,0.70
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,66,2000s,"warm;cozy;unhurried",0.42,0.79,cafe,0.72
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,81,2010s,"brooding;neon;cinematic",0.58,0.48,night_drive,0.83
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,76,2020s,"steady;clear-headed;productive",0.12,0.90,study,0.82
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,80,2010s,"romantic;carefree;sunset",0.87,0.21,party,0.79
11,Afterglow Arcade,Pixel Harbor,synthwave,energetic,0.81,116,0.68,0.84,0.19,85,2010s,"retro;electrified;playful",0.61,0.39,party,0.85
12,Quiet Terminal,Cloud District,ambient,focused,0.31,64,0.52,0.38,0.94,61,2020s,"minimal;isolated;meditative",0.03,0.99,deep_work,0.69
13,Golden Hour Steps,Juniper Lane,indie pop,happy,0.72,122,0.86,0.80,0.33,82,2020s,"hopeful;golden;nostalgic",0.89,0.18,walk,0.84
14,Basement Blueprint,Code Current,hip hop,focused,0.66,96,0.58,0.77,0.27,78,2010s,"gritty;driven;clever",0.93,0.16,deep_work,0.80
15,Mountain Static,Iron Pines,rock,moody,0.88,146,0.44,0.63,0.12,73,2000s,"restless;stormy;brooding",0.69,0.31,night_drive,0.74
16,Slow Bloom Cafe,Velvet Kettle,jazz,relaxed,0.41,88,0.74,0.57,0.83,65,2000s,"intimate;silky;late-night",0.47,0.74,dinner,0.71
17,Deep Work Drift,LoRoom,lofi,focused,0.39,76,0.55,0.61,0.81,77,2020s,"immersive;steady;low-key",0.10,0.92,deep_work,0.83
18,Signal in the Fog,Neon Echo,electronic,moody,0.70,108,0.46,0.75,0.24,84,2020s,"tense;mysterious;urban",0.64,0.36,night_drive,0.81
